,MONTH,ID,TEMP_C,LONGITUDE,LATITUDE,RCLASS,COORDS,START_TIME,END_TIME,Q99,DAILY_DIFF,DEPTH,REGION,SHOREDIST,SST,SST_MAX,WEEKLY_DIFF
0,2,3725.0,28.551155738304097,148.4452,-17.7174,Back Reef Slope,POINT (148.4452 -17.7174),2007-07-01 00:00:00,2010-06-18 13:30:00,29.482675,0.8357590993094057,4.0,AUSTRALIA,111.31948852539062,28.82393798828128,30.2499938964844,1.734399437904358
1,1,3727.0,29.418760282258063,149.962,-16.2863,Outer Reef Flat,POINT (149.962 -16.2863),2007-07-01 00:00:00,2011-04-16 13:30:00,31.468465,1.5148579476068544,2.2,AUSTRALIA,8593.361328125,28.850885009765648,30.123986816406276,1.9590625762939453
2,2,3746.0,27.52617454279444,154.4015,-20.9361,Shallow Lagoon,POINT (154.4015 -20.9361),2007-06-09 00:00:00,2010-10-17 13:30:00,29.32,0.9427144070805435,3.0,AUSTRALIA,103.9698486328125,28.124780273437523,29.150994873046898,1.8150750398635864
3,2,5362.0,28.44073988095238,152.3894,-19.0957,Back Reef Slope,POINT (152.3894 -19.0957),2008-10-14 00:00:00,2010-10-18 13:30:00,29.98,0.9595702311809589,4.25,AUSTRALIA,244706.125,28.473199462890648,29.476007080078148,1.2980910539627075
4,1,5364.0,28.921362684811825,147.8724,-16.4674,Back Reef Slope,POINT (147.8724 -16.4674),2008-11-01 00:00:00,2012-09-20 13:30:00,30.8949,1.0605852213848328,4.1,AUSTRALIA,146007.171875,28.995965576171898,30.665979003906276,1.9438683986663818
5,2,5366.0,29.28665669642857,147.1177,-15.4877,Shallow Lagoon,POINT (147.1177 -15.4877),2008-11-01 00:00:00,2010-10-31 23:30:00,31.8825,1.2615125945450378,3.0,AUSTRALIA,169389.34375,29.162225341796898,31.016992187500023,1.513413429260254
6,2,3144.0,24.623300215517244,159.0687,-29.4501,Back Reef Slope,POINT (159.0687 -29.4501),2007-03-01 00:00:00,2008-10-28 12:30:00,26.795983,1.02725898772375,7.4,AUSTRALIA,226535.1875,24.573571777343773,25.959985351562523,0.9257731437683105
7,2,3742.0,22.01641522988505,159.0687,-29.4501,Back Reef Slope,POINT (159.0687 -29.4501),2007-03-01 00:00:00,2008-10-27 12:30:00,23.1913,0.556271209727279,3.3,AUSTRALIA,226535.1875,24.573571777343773,25.959985351562523,0.9759973287582397
8,2,3148.0,25.75404856321839,159.1005,-29.452,Deep Lagoon,POINT (159.1005 -29.452),2007-03-01 00:00:00,2008-10-27 12:30:00,28.428965,1.5660737926770627,4.4,AUSTRALIA,226332.0625,24.533990478515648,25.838006591796898,1.0358176231384277
9,2,3182.0,24.39742370689655,159.0934,-29.9377,Inner Reef Flat,POINT (159.0934 -29.9377),2007-03-01 00:00:00,2008-10-28 12:30:00,26.524478,1.592774878266237,4.3,AUSTRALIA,172337.875,24.489678955078148,25.516992187500023,1.0660008192062378
10,1,5331.0,25.00729405864197,159.0654,-31.5391,Shallow Lagoon,POINT (159.0654 -31.5391),2009-03-04 00:00:00,2013-03-31 23:30:00,27.1843,1.1180842494951762,3.9,AUSTRALIA,580.1455078125,24.751824951171898,26.373986816406276,2.347299814224243
